ETA,PHI,PT
0.253788, 0.527628, 0.766809
0.360565, 0.858495, 3.34933
0.0744703, 0.833714, 1.44464
0.103808, 0.849982, 2.18159
0.15319, 0.690867, 0.672485
0.115955, 0.803617, 4.80056
0.295732, 0.719473, 1.83426
0.20537, 0.78897, 14.5656
0.236278, 0.794457, 29.6045
0.215444, 0.805912, 6.68605
@@@,@@@,@@@
1.81049, 3.94094, 107.055
2.12583, 3.69596, 0.799835
1.96722, 3.60792, 0.272409
2.04327, 4.18033, 0.03956
1.81791, 4.17996, 1.38335
1.65571, 3.78506, 2.45693
1.74559, 3.73449, 2.00905
1.71794, 4.03577, 1.26558
1.72974, 3.87038, 5.59987
1.80228, 4.06728, 1.7748
1.70546, 3.98359, 4.93274
1.72475, 3.96375, 2.44588
1.8681, 3.8529, 0.75028
1.73871, 3.95611, 4.7525
1.84938, 4.01003, 4.06749
1.77222, 3.90679, 1.0787
1.79041, 3.92028, 15.5216
1.80988, 3.90096, 0.665496
1.79214, 3.97116, 5.04304
1.84266, 3.94442, 41.2488
1.84486, 3.97014, 11.1625
@@@,@@@,@@@
2.38613, 1.55242, 104.953
2.15931, 1.23085, 0.327523
2.10988, 1.38236, 1.1396
2.10163, 1.57718, 5.59745
2.11112, 1.56479, 0.481675
2.31034, 1.30357, 0.640436
2.1551, 1.62538, 1.01087
2.15483, 1.57091, 4.26239
2.20027, 1.54554, 0.230868
2.47005, 1.34884, 0.50004
2.24688, 1.62638, 2.13819
2.30099, 1.50862, 2.48941
2.35193, 1.61383, 0.536007
2.35039, 1.51388, 2.92244
2.39559, 1.54295, 1.54228
2.43407, 1.52328, 9.42584
2.41211, 1.53384, 12.9006
2.45136, 1.54214, 5.0221
2.42995, 1.53822, 4.18363
2.44426, 1.57796, 8.52996
2.42968, 1.5651, 17.8247
2.42166, 1.57324, 23.3435
@@@,@@@,@@@
-0.30177, 1.07615, 107.612
-0.53764, 0.956194, 0.0502264
-0.234421, 0.84996, 0.347164
-0.441258, 1.04702, 1.30431
-0.245442, 1.02118, 1.88847
-0.366218, 1.0867, 1.93798
-0.35516, 1.0455, 13.3225
-0.305953, 1.01693, 2.20221
-0.350876, 1.09675, 2.79435
-0.282247, 1.14092, 6.44546
-0.23125, 1.07058, 0.977853
-0.257957, 1.08435, 1.42431
-0.275262, 1.07268, 29.367
-0.304727, 1.06578, 9.78099
