ETA,PHI,PT
-0.836386, 1.22479, 3.61624
-0.860693, 1.21056, 0.815383
-0.894119, 1.10749, 0.80428
-0.913043, 1.17844, 9.60615
-0.901954, 1.13467, 21.9042
-0.898194, 1.14217, 2.92978
-0.875521, 1.14586, 11.783
-0.866556, 1.14264, 18.161
-0.882755, 1.18576, 3.62328
-0.878015, 1.16804, 9.97151
-0.866861, 1.1729, 15.3454
@@@,@@@,@@@
0.505477, 0.593213, 108.7
0.696046, 0.26399, 0.231812
0.543376, 0.898512, 0.512597
0.227869, 0.634054, 0.0372203
0.81895, 0.349539, 0.135879
0.598392, 0.36179, 0.12504
0.717189, 0.710546, 0.978847
0.333928, 0.461208, 0.182003
0.325107, 0.491527, 0.017743
0.584738, 0.736494, 3.04313
0.636483, 0.569651, 5.0387
0.602566, 0.634994, 2.39451
0.525632, 0.692038, 1.69496
0.58437, 0.590967, 9.17631
0.450249, 0.515981, 7.38387
0.415807, 0.542318, 0.425884
0.500771, 0.666949, 1.41298
0.478147, 0.53333, 2.94542
0.516819, 0.560058, 1.77698
0.47785, 0.570124, 9.25199
0.489839, 0.579763, 9.18489
0.470381, 0.600076, 21.9075
0.484904, 0.600922, 30.9742
@@@,@@@,@@@
-1.95164, 1.24997, 107.446
-1.7131, 0.951465, 3.31306
-1.72946, 0.957816, 0.251249
-2.14304, 0.926482, 0.806121
-2.09679, 1.40024, 1.12858
-1.9418, 1.43134, 0.105331
-2.03396, 1.21761, 3.20272
-2.00565, 1.31432, 0.90555
-1.96915, 1.32355, 2.38361
-1.97963, 1.31588, 1.60306
-1.89432, 1.25889, 1.07937
-1.99829, 1.24824, 1.21486
-1.96111, 1.30313, 5.12979
-1.95618, 1.2861, 11.2904
-1.95776, 1.22125, 1.2515
-1.95962, 1.23371, 15.9382
-1.92304, 1.24576, 1.74552
-1.92411, 1.26959, 7.38193
-1.93932, 1.24256, 6.99399
-1.93452, 1.25065, 8.92973
-1.93969, 1.25981, 7.29853
-1.95993, 1.25882, 9.46659
-1.95312, 1.26466, 16.2746
@@@,@@@,@@@
1.34046, 5.96274, 108.369
1.08826, 5.67235, 0.0616797
1.53124, 5.60921, 0.206307
1.45411, 6.25219, 0.520316
1.29439, 5.76263, 0.226855
1.19944, 5.95268, 8.57886
1.4853, 5.98942, 2.86795
1.24642, 5.90027, 7.00206
1.29181, 5.97039, 15.3126
1.30861, 5.98914, 6.55156
1.35899, 5.97166, 3.42136
1.34772, 5.97141, 18.5387
1.34782, 5.96578, 4.98923
1.39002, 5.97065, 24.5981
1.39491, 5.96085, 3.52053
1.37859, 5.94318, 9.47799
1.37186, 5.93662, 2.55827
@@@,@@@,@@@
1.90708, 2.0168, 108.376
1.92503, 2.32067, 1.82746
2.04247, 2.03628, 4.35309
1.99123, 1.95371, 0.443343
1.84086, 2.03484, 4.35602
1.91334, 2.06657, 2.2766
1.92816, 1.96887, 5.35817
1.89126, 1.96735, 2.98827
1.85856, 2.01223, 6.09551
1.87209, 2.01692, 14.5627
1.88215, 2.00131, 10.9183
1.89706, 1.98868, 8.81541
1.92182, 2.02296, 36.6001
1.90696, 1.99922, 9.88723
@@@,@@@,@@@
0.569078, 0.0730993, 104.969
0.784388, 0.391471, 0.525865
0.600941, 0.391613, 0.951093
0.938184, 0.371739, 0.275997
0.283526, 0.0833919, 2.18175
0.50091, 0.329828, 0.641879
0.568144, 0.311866, 0.325832
0.428815, 6.2648, 1.02398
0.757033, 0.0543846, 2.51286
0.737949, 6.2366, 2.21496
0.723868, 0.0802671, 4.10248
0.632201, 6.28228, 6.04332
0.608997, 6.27481, 2.55438
0.625871, 0.138435, 2.22928
0.634472, 0.111773, 0.814969
0.605457, 0.140987, 6.5571
0.604516, 6.28118, 0.519963
0.571529, 6.28064, 7.65659
0.468173, 0.0901075, 1.69224
0.589533, 0.0396779, 1.04742
0.778968, 0.122963, 0.951684
0.569566, 0.073384, 13.0773
0.505695, 0.0512862, 5.01675
0.519663, 0.0839407, 22.6503
0.528321, 0.0730741, 6.35139
0.530279, 0.0760446, 13.2605
@@@,@@@,@@@
0.79364, 3.26078, 103.222
0.673153, 2.98258, 0.629682
0.539938, 3.40677, 1.03468
1.01843, 3.14968, 0.59208
0.978177, 3.25138, 2.57368
0.624965, 3.25133, 3.00526
0.676421, 3.32321, 1.45603
0.746028, 3.31256, 2.41523
0.749289, 3.21912, 6.18687
0.760019, 3.24399, 9.48778
0.754802, 3.23939, 9.05837
