ETA,PHI,PT
-1.27127, 5.22407, 0.074932
-1.45301, 5.24035, 1.69885
-1.48232, 5.27973, 12.7333
-1.4518, 5.26206, 0.458642
-1.44113, 5.37955, 5.04775
-1.44266, 5.32316, 1.54054
-1.39038, 5.35379, 16.2209
-1.39621, 5.36103, 1.52839
-1.40987, 5.34535, 19.6286
-1.42108, 5.34027, 20.7211
-1.42498, 5.34949, 22.992
@@@,@@@,@@@
0.612743, 6.07975, 106.126
0.871122, 5.80036, 2.38329
1.17429, 0.155448, 0.409596
0.352503, 5.87283, 0.658216
0.302791, 6.15883, 0.56847
0.371792, 5.93211, 1.29132
0.696571, 5.85607, 0.227183
0.431441, 5.94956, 2.37874
0.605579, 5.88128, 7.27095
0.785176, 6.1104, 2.17295
0.6252, 5.95148, 9.92652
0.739029, 6.054, 1.57911
0.74812, 6.12037, 2.70337
0.709609, 6.20507, 2.68581
0.724952, 6.15689, 3.60334
0.701954, 6.05651, 6.84343
0.597437, 6.00106, 3.32113
0.677737, 6.16029, 4.01453
0.572581, 6.2367, 3.84376
0.566565, 6.0504, 2.33738
0.585047, 6.06116, 4.5984
0.562915, 6.07568, 5.65532
0.576877, 6.0909, 4.46378
0.516736, 6.13741, 10.582
0.600476, 6.15442, 0.756224
0.582567, 6.13871, 1.75842
0.543045, 6.15755, 5.40455
0.572466, 6.18057, 15.3136
@@@,@@@,@@@
2.43973, 5.75841, 100.05
2.45319, 5.48041, 3.83479
2.3589, 5.52402, 0.695715
2.36532, 5.50325, 10.9339
2.23035, 5.94798, 0.659165
2.34904, 5.60204, 0.193659
2.46323, 5.59695, 0.881086
2.32132, 5.9463, 1.22231
2.45863, 5.63396, 0.202049
2.37341, 5.78911, 3.41936
2.37788, 5.79291, 7.92181
2.49059, 5.83718, 6.89823
2.43091, 5.83455, 1.1137
2.4398, 5.8427, 11.0445
2.45098, 5.83845, 11.5194
2.43541, 5.80531, 5.32524
2.43344, 5.81053, 1.86527
2.43816, 5.75437, 4.89462
2.43843, 5.77033, 4.75162
2.48243, 5.77931, 2.43607
2.46401, 5.78359, 20.9291
@@@,@@@,@@@
1.44168, 1.45828, 108.635
1.27962, 1.71353, 0.194392
1.19381, 1.60392, 0.732911
1.44566, 1.73442, 0.629646
1.24158, 1.26076, 0.449457
1.16923, 1.44726, 0.990512
1.29707, 1.63924, 0.735464
1.31499, 1.60998, 3.66855
1.24999, 1.46198, 3.05406
1.28116, 1.51064, 3.28355
1.27646, 1.47214, 2.62937
1.40047, 1.26463, 1.60116
1.40392, 1.61021, 1.81441
1.57192, 1.60267, 0.621633
1.51794, 1.31801, 1.89371
1.40986, 1.38637, 4.62896
1.55793, 1.40838, 5.36913
1.43032, 1.38996, 1.32083
1.43348, 1.50615, 7.22974
1.89824, 1.45884, 0.358714
1.51666, 1.51632, 2.29166
1.44644, 1.41074, 3.04249
1.48991, 1.49458, 1.78458
1.46216, 1.4133, 8.08543
1.45512, 1.46018, 12.2179
1.49952, 1.42117, 1.54508
1.4828, 1.44175, 7.24222
1.49843, 1.44467, 22.7378
1.50629, 1.45208, 4.92111
1.09884, 1.51598, 3.36749
1.08435, 1.52477, 0.432234
@@@,@@@,@@@
-0.428247, 1.17841, 100.384
-0.870718, 1.47971, 0.437091
-0.678129, 1.43019, 0.897249
-0.640699, 0.907399, 0.413567
-0.320445, 0.972213, 0.703644
-0.641744, 1.32194, 0.242379
-0.695711, 1.28894, 0.384613
-0.60713, 1.35103, 2.11727
-0.364479, 1.41833, 1.76688
-0.496105, 1.3926, 1.02686
-0.423292, 1.39468, 2.20729
-0.290872, 1.35028, 0.422597
-0.295935, 1.32142, 0.732045
-0.431353, 1.34109, 5.71701
-0.467413, 1.32812, 8.19918
-0.472278, 1.31373, 1.36619
-0.613313, 1.09539, 0.775408
-0.571643, 1.22446, 1.65916
-0.912204, 1.29625, 0.195001
-0.304324, 1.26756, 0.297513
-0.434306, 1.2884, 2.76512
-0.390854, 1.26872, 5.97375
-0.36348, 1.25918, 0.918136
-0.250493, 1.05678, 0.773663
-0.27785, 1.1575, 2.16347
-0.519272, 1.15971, 1.72515
-0.493126, 1.18446, 2.4325
-0.342863, 1.1973, 1.17601
-0.439276, 0.992236, 0.608253
-0.344346, 1.15878, 0.759379
-0.432498, 1.16825, 0.613251
-0.400706, 1.15677, 7.54133
-0.380269, 1.14215, 1.85317
-0.449792, 1.06214, 8.57512
-0.421207, 1.11, 0.208871
-0.398761, 1.02243, 1.32838
-0.41012, 1.04675, 6.99011
-0.416388, 1.0908, 4.3101
-0.397905, 1.08669, 6.80063
-0.376886, 1.09356, 2.1167
-0.358539, 1.06711, 11.956
@@@,@@@,@@@
-0.373684, 0.890957, 106.453
-0.607674, 0.604731, 0.609908
-0.287826, 0.53624, 0.853562
-0.501845, 0.57825, 0.235589
-0.58426, 0.763338, 1.16451
-0.478739, 0.721186, 0.0638404
-0.502235, 0.749643, 3.43572
-0.54051, 0.79555, 1.55655
-0.364908, 0.969353, 0.670547
-0.328043, 0.865129, 9.31434
-0.368298, 0.881384, 18.2901
-0.378419, 0.885182, 7.30033
-0.36306, 0.905574, 22.6356
-0.370608, 0.919639, 0.408975
-0.361913, 0.92368, 23.6071
-0.364829, 0.928747, 16.4805
@@@,@@@,@@@
-0.363565, 2.72509, 100.619
-0.534322, 3.07475, 2.36258
-0.53186, 2.37539, 0.165271
-0.599616, 2.39942, 0.181587
-0.673733, 2.82172, 1.01294
-0.567528, 2.56419, 1.49988
-0.541639, 2.69081, 0.218721
-0.218779, 2.7836, 3.13979
-0.343121, 2.74297, 1.47015
-0.368182, 2.74797, 38.3065
-0.37346, 2.73321, 14.1436
-0.33387, 2.67612, 32.3394
-0.337063, 2.69802, 6.02245
@@@,@@@,@@@
-0.746181, 5.86754, 100.622
-0.567138, 6.19239, 1.31183
-0.702282, 6.23188, 0.649293
-1.06772, 6.03684, 1.51476
-0.755954, 5.50875, 0.519979
-0.855525, 6.19532, 0.396345
-1.06784, 5.93338, 0.0221351
-1.02453, 5.95154, 0.047374
-0.667548, 5.6203, 0.0955861
-1.05297, 5.85159, 0.945683
-0.612707, 6.00965, 0.503838
-0.563177, 5.81582, 1.75936
-0.791595, 5.70434, 0.0787512
-0.858549, 5.93838, 3.92043
-0.881125, 5.87906, 6.47869
-0.620056, 5.9281, 0.103611
-0.784449, 5.93503, 5.16392
-0.766433, 5.92819, 5.27068
-0.766993, 5.91596, 2.8019
-0.784721, 5.88615, 5.37393
-0.789663, 5.85966, 5.24601
-0.78416, 5.82966, 6.48417
-0.748355, 5.86749, 1.80483
-0.719184, 5.80665, 9.74391
-0.71199, 5.83595, 7.04992
-0.669648, 5.86908, 3.73147
-0.689143, 5.83794, 0.993551
-0.671703, 5.84555, 8.75412
-0.67302, 5.83138, 20.1334
@@@,@@@,@@@
2.1638, 0.707482, 106.177
2.17257, 0.311547, 1.00547
2.03192, 1.08545, 0.0549369
2.46766, 0.537527, 0.174707
2.01788, 0.90118, 0.220302
1.98357, 0.421539, 0.625633
1.89823, 0.895693, 0.121008
2.43648, 0.512124, 0.320091
2.14654, 0.448141, 4.70672
2.19871, 0.990273, 0.309071
1.9064, 0.754699, 0.152407
2.36691, 0.892121, 0.86995
2.03369, 0.528834, 0.227112
2.37091, 0.633054, 2.09921
2.15381, 0.541014, 0.287151
2.21169, 0.533406, 5.8669
2.36959, 0.808285, 3.42526
2.31124, 0.75126, 0.131737
2.29524, 0.665436, 0.767278
2.19526, 0.609759, 0.362642
2.2407, 0.677709, 1.19008
2.23593, 0.69139, 5.56604
2.14748, 0.646974, 8.94191
2.12541, 0.645221, 4.15404
2.16333, 0.668662, 1.23402
2.07477, 0.673892, 0.554428
2.05532, 0.7862, 1.78355
2.16528, 0.717895, 4.65308
2.12629, 0.736183, 4.39395
2.12227, 0.766159, 34.2753
2.12325, 0.771466, 18.2626
@@@,@@@,@@@
-0.913431, 4.62566, 108.254
-0.591018, 4.59322, 3.56862
-1.08092, 4.86182, 0.896852
-1.01613, 4.64674, 0.725306
-0.937279, 4.6864, 3.45021
-0.871443, 4.6665, 1.37894
-0.883513, 4.598, 2.73191
-0.960989, 4.63286, 2.79446
-0.953061, 4.60528, 8.00534
-0.90872, 4.65803, 2.06261
-0.898256, 4.59979, 2.52334
-0.899581, 4.64067, 4.99679
-0.917131, 4.64496, 7.17687
-0.914796, 4.63197, 21.0077
-0.932967, 4.61957, 3.27981
-0.923947, 4.61671, 24.2627
-0.918792, 4.61192, 19.4371
@@@,@@@,@@@
0.113667, 0.902985, 106.221
-0.49784, 0.745255, 0.403157
-0.0314695, 0.59303, 1.16986
-0.00077687, 0.605745, 0.0965485
0.0606519, 1.01141, 1.63541
0.191419, 0.827348, 4.22322
0.194588, 0.911885, 2.15976
0.145047, 0.938155, 4.12985
0.118662, 0.948121, 7.08241
0.0984994, 0.890859, 1.49833
0.0997688, 0.894068, 6.43605
0.0967608, 0.902917, 12.0997
0.0899936, 0.901084, 19.5537
0.130148, 0.891093, 12.1383
0.126833, 0.91611, 23.285
0.124144, 0.908641, 10.4094
@@@,@@@,@@@
-0.221183, 4.16294, 109.753
-0.219902, 3.86802, 0.355167
-0.27223, 3.88875, 0.300701
-0.383724, 4.38194, 0.462805
-0.274966, 4.07952, 2.10771
-0.190794, 4.07331, 3.63921
-0.195833, 4.18174, 3.54418
-0.216618, 4.16127, 65.6049
-0.228228, 4.1821, 11.2976
-0.229983, 4.1827, 4.40389
-0.230034, 4.18089, 18.103
@@@,@@@,@@@
0.784616, 0.393449, 100.108
0.653409, 0.730126, 0.536134
0.470117, 0.51632, 4.15388
0.672744, 0.0880621, 0.137754
0.582955, 0.422491, 0.343736
0.502876, 0.456396, 5.15437
0.543148, 0.441652, 6.48077
0.541164, 0.438811, 7.40302
1.02675, 0.586155, 2.20031
0.772343, 0.119397, 0.295292
0.635143, 0.338465, 0.573537
0.663452, 0.277951, 4.27132
0.759438, 0.318376, 0.459781
0.799534, 0.3214, 4.25215
0.86664, 0.424527, 2.48482
0.876369, 0.32944, 2.86914
0.83521, 0.365096, 6.09897
0.880865, 0.35348, 6.16286
0.865658, 0.36913, 10.0295
0.879248, 0.379008, 12.627
0.866707, 0.389048, 5.59035
0.873977, 0.386422, 18.1894
@@@,@@@,@@@
-0.624058, 0.381237, 104.291
-0.66621, 0.751447, 0.70499
-0.512859, 0.149704, 1.90837
-0.394985, 0.434189, 3.08658
-0.811484, 0.332939, 1.26787
-1.23245, 0.238015, 0.572685
-0.619838, 0.560448, 0.323596
-0.477735, 0.469502, 2.89181
-0.58684, 0.496187, 2.83799
-0.636428, 0.256102, 0.914291
