ETA,PHI,PT
-1.84551, 6.1139, 0.26637
-1.98905, 6.23654, 0.311669
-1.47511, 6.12646, 6.92797
-1.43946, 6.1247, 0.360266
-1.3496, 6.11424, 3.96016
-1.32543, 6.09894, 9.34265
-1.39171, 6.00893, 2.96049
-1.3966, 6.04475, 4.70855
-1.3412, 6.04853, 2.30392
-1.35201, 6.04324, 54.6203
@@@,@@@,@@@
0.18261, 5.04913, 104.225
-0.108326, 5.15207, 2.12466
0.41993, 4.90414, 0.668014
0.412082, 5.09329, 0.654949
0.20809, 4.85119, 0.885244
0.127507, 4.86948, 1.19349
0.045996, 4.92386, 1.58935
0.129469, 4.88819, 1.09537
0.109286, 5.20163, 1.76083
0.280168, 5.08387, 9.88877
0.168645, 5.14491, 5.51642
0.198826, 5.08156, 7.15908
0.20849, 5.06402, 8.96025
0.172558, 5.06582, 14.9863
0.176147, 5.05299, 0.568116
0.169348, 5.05049, 2.4919
0.190619, 5.03767, 11.8522
0.166588, 4.99475, 2.25335
0.158165, 5.00957, 8.35261
0.176653, 5.02811, 10.5077
0.170474, 5.02055, 11.8745
@@@,@@@,@@@
1.107, 1.17478, 108.969
1.45827, 1.13976, 0.713028
0.78694, 1.22375, 0.413886
1.4018, 1.06492, 2.90761
1.31004, 1.39683, 0.473734
1.28966, 1.06663, 0.354583
1.30885, 1.10603, 0.790547
1.1874, 1.03549, 0.238599
0.988115, 1.09195, 0.0512884
1.08794, 1.11794, 1.26676
1.11763, 1.17135, 3.85221
1.10899, 1.18149, 3.91673
1.08864, 1.17785, 70.3929
1.09503, 1.18288, 23.6367
@@@,@@@,@@@
-0.0470547, 1.68359, 106.447
-0.296347, 1.93872, 1.00142
-0.315105, 1.50963, 1.79414
0.161439, 1.61862, 0.0864763
0.157272, 1.69125, 0.472409
-0.192594, 1.78576, 0.106089
-0.152234, 1.82272, 2.25625
-0.00581142, 1.82301, 1.05008
-0.0269979, 1.82257, 1.49133
-0.166658, 1.71593, 0.282283
0.0513996, 1.75753, 0.1513
-0.0091314, 1.78793, 8.96802
-0.0255803, 1.78836, 7.50324
-0.0269299, 1.57641, 9.51646
-0.0276964, 1.59863, 2.71395
-0.0773914, 1.61346, 16.0385
-0.0284558, 1.6096, 2.78208
-0.0451641, 1.62754, 10.8961
-0.0881482, 1.74604, 2.06514
-0.0601053, 1.74625, 4.31634
-0.0639954, 1.74005, 1.49443
-0.0585165, 1.69991, 7.81268
-0.0389585, 1.66445, 1.84435
-0.0106301, 1.69289, 19.9086
-0.033235, 1.71563, 2.23882
@@@,@@@,@@@
-0.0228344, 0.672819, 107.009
0.216835, 0.760915, 0.773314
0.0168602, 0.836022, 3.41246
-0.0753478, 0.720502, 1.8889
0.000892527, 0.62729, 8.24625
-0.0418859, 0.685819, 7.96699
-0.0257352, 0.667082, 81.8494
-0.0322796, 0.682637, 2.93284
@@@,@@@,@@@
-0.760053, 4.67399, 108.932
-0.506851, 4.91197, 1.64902
-0.72877, 4.81704, 0.432393
-0.782599, 4.5433, 1.2342
-0.864821, 4.62401, 0.225198
-0.805181, 4.72994, 6.12857
-0.828471, 4.72303, 12.1764
-0.815475, 4.70889, 8.39647
-0.831253, 4.62657, 5.80342
-0.748443, 4.74436, 7.43541
-0.739679, 4.56994, 2.6396
-0.786749, 4.60417, 1.09128
-0.743843, 4.58417, 4.17416
